"compagnia_aerea","aeroplano"
"Aktjubavia","AP401"
"Zapolyarie Airlines","AP662"
"Laoag International Airlines","AP45"
"Farmingdale State University","AP302"
"Medjet International","AP422"
"Sioux Falls Aviation","AP569"
"Congo Air","AP788"
"Atlas Airlines","AP635"
"Southern Airways Express","AP322"
"TAPSA Transportes Aereos Petroleros","AP233"
"AV8 Helicopters","AP719"
"Air Mauritanie","AP871"
"Aero Air","AP970"
"Ray Aviation","AP181"
"Haiti Air Freight","AP926"
"Jet Executive International Charter","AP6"
"Albion Aviation","AP745"
"Elilombarda","AP425"
"Norwegian Air International (D8)","AP875"
"Universal Jet Aviation","AP800"
"Compass Airlines (Australia)","AP493"
"Arrow Panama","AP159"
"Pan African Airways","AP904"
"Sky Gate International Aviation","AP912"
"Flying Service","AP779"
"Mauritania Airlines International","AP604"
"Grupo Vuelos Mediterraneo","AP914"
"Senegal Airlines","AP764"
"Air Ontario","AP842"
"Cal-West Aviation","AP44"
"Luxembourg Air Rescue","AP989"
"BN Group Limited","AP519"
"Aeroclub Flaps","AP627"
"Aircompany Barcol","AP868"
"Aeronautical Radio of Thailand","AP198"
"Aeropiloto","AP149"
"AJT Air International","AP484"
"Natioanl Air Traffic Controllers Association","AP458"
"Canadian National Telecommunications","AP502"
"Heli-Iberica Fotogrametria","AP969"
"XAIR USA","AP62"
"Mountain Pacific Air","AP706"
"Worldwide Air Charter Systems","AP965"
"Air Nova","AP206"
"Servicios De Transporte Aereo","AP153"
"Nord-Flyg","AP581"
"LUKoil-Avia","AP196"
"Salsa d\\'Haiti","AP87"
"Air Tungaru","AP656"
"AIR INDOCHINE","AP902"
"Polyot Sirena","AP864"
"MDLR Airlines","AP898"
"Chari Aviation Services","AP436"
"FSH Luftfahrtunternehmen","AP332"
"NAV CANADA","AP936"
"Air Gabon","AP592"
"Intersky","AP278"
"Cubana de Aviación","AP845"
"Breeze Ltd","AP247"
"Colt International","AP361"
"Magna Air","AP752"
"Grixona","AP674"
"RAF Topcliffe Flying Training Unit","AP515"
"Japan Airlines","AP678"
"Regionalia Uruguay","AP81"
"Dassault Falcon Jet Corporation","AP11"
"Caribbean Airlines","AP403"
"Western Air Express","AP81"
"Philips Aviation Services","AP60"
"Woodgate Executive Air Charter","AP152"
"Trans-Florida Airlines","AP213"
"Gulf Air Inc","AP296"
"VIA Rail Canada","AP670"
"Griffin Aviation","AP431"
"Private Wings Flugcharter","AP490"
"Totavia","AP80"
"Colibri Aviation","AP79"
"Best Air","AP995"
"Sky Cam","AP461"
"Marham Flying Training Unit","AP18"
"Central Mongolia Airways","AP346"
"Advance Leasing Company","AP910"
"Riau Airlines","AP404"
"FLTPLAN","AP316"
"South Coast Aviation","AP29"
"Lynx Air International","AP539"
"SkyBahamas Airlines","AP94"
"Eastern Australia Airlines","AP197"
"Jetall Holdings","AP835"
"Dawn Air","AP248"
"Air Specialties Corporation","AP55"
"Organizacion De Transportes Aereos","AP459"
"Cabo Verde Express","AP876"
"Private Wings Flugcharter","AP2"
"Slok Air Gambia","AP820"
"MDLR Airlines","AP81"
"Orenburg Airlines","AP729"
"Flight Ops International","AP128"
"Out Of The Blue Air Safaris","AP36"
"Avstar Aviation","AP923"
"US Helicopter Corporation","AP337"
"Eagle Jet Charter","AP848"
"Altagna","AP981"
"Labrador Airways","AP524"
"Paradise Island Airways","AP515"
"Tulpar Air Service","AP85"
"Kyrgyz Trans Avia","AP349"
"Al Ahram Aviation","AP980"
"Antrak Air","AP265"
"Aerotaxi Mexicano","AP583"
"Sun Air of Scandinavia","AP141"
"Travelair","AP796"
"Elite Jets","AP82"
"Qwila Air","AP467"
"EasyJet (DS)","AP546"
"Unifly Servizi Aerei","AP91"
"Pacific Coastal Airline","AP71"
"Lone Star Airlines","AP444"
"Alamo Aviacion","AP906"
"Air Macau","AP642"
"Fly Europa Limited","AP720"
"La Valenciana Taxi Aereo","AP826"
"Star Equatorial Airlines","AP233"
"Golden Pacific Airlines","AP951"
"Skymaster Air Taxi","AP516"
"Executive Flight Operations Ontario Government","AP880"
"Dutch Antilles Express","AP919"
"Angoservice","AP374"
"Baron Aviation Services","AP202"
"SOS Flygambulans","AP134"
"Venescar Internacional","AP152"
"SUR Lineas Aereas","AP720"
"Air North Charter - Canada","AP560"
"Aws express","AP592"
"Transafricaine","AP788"
"Roraima Airways","AP583"
"Tropican Air Services","AP736"
"West African Airlines","AP740"
"EIS Aircraft","AP226"
"West Coast Air","AP228"
"Kaz Agros Avia","AP191"
"Horizon Air Service","AP23"
"Auckland Regional Rescue Helicopter Trust","AP726"
"AMP Incorporated","AP879"
"Eurocopter","AP970"
"Héli Sécurité Helicopter Airlines","AP374"
"Vintage Props and Jets","AP538"
"Aerochiapas","AP938"
"Murmansk Aircompany","AP490"
"Yemenia","AP70"
"Al Rais Cargo","AP232"
"Vega Air Company","AP570"
"Heli Union Heli Prestations","AP712"
"National Airlines","AP283"
"Gofir","AP747"
"Buffalo Express Airlines","AP172"
"Fleet Requirements Air Direction Unit","AP507"
"Albarka Air","AP121"
"Mall Airways","AP408"
"Czech Government Flying Service","AP613"
"Seven Four Eight Air Services","AP969"
"C&M Airways","AP859"
"Bond Aviation","AP946"
"SENIC AIRLINES","AP367"
"SOS Helikoptern Gotland","AP620"
"Blue Sky America","AP402"
"Island Aviation Services","AP435"
"Alpine Air Chile","AP2"
"Air-Lift Associates","AP571"
"New Zealand Air Defence Force","AP772"
"Jayrow","AP799"
"Aquila Air","AP589"
"Gulf & Caribbean Cargo / Contract Air Cargo","AP44"
"Rotormotion","AP626"
"Yeti Airways","AP673"
"Peninter Aerea","AP927"
"Avstar Aviation","AP279"
"British Gulf International","AP926"
"Aerotransporte de Carga Union","AP551"
"Ryan Air Service","AP519"
"State Unitary Air Enterprise","AP478"
"Aero Modelo","AP582"
"Hankook Air US","AP565"
"Air Specialties Corporation","AP459"
"Knight Air","AP909"
"Simpson Air Ltd","AP790"
"LTU International","AP295"
"Galaircervis","AP621"
"Aero VIP (2D)","AP151"
"Boutique Air (Priv)","AP463"
"JMC Airlines","AP945"
"Baikotovitchestrian Airlines ","AP379"
"Aviapartner Limited Company","AP955"
"Spurling Aviation","AP119"
"Cygnus Air","AP571"
"Kitty Hawk Aircargo","AP852"
"Aerotaxi Del Valle","AP165"
"Vertair","AP324"
"TAP Portugal","AP821"
"BCT Aviation","AP1000"
"Eastern Carolina Aviation","AP957"
"Azerbaijan Airlines","AP925"
"Continental Airlines","AP938"
"Westair Cargo Airlines","AP562"
"Worldwide Jet Charter","AP524"
"Seacoast Airlines","AP319"
"Skygate","AP830"
"West Coast Airways","AP778"
"Air Contractors","AP431"
"Finncomm Airlines","AP27"
"Tien-Shan","AP608"
"Lorraine Aviation","AP905"
"Anoka Air Charter","AP587"
"Aero Gambia","AP687"
"Air Klaipeda","AP559"
"Aerocentral","AP60"
"IRS Airlines","AP606"
"Pan Am World Airways","AP263"
"Excellent Air","AP111"
"Daya Aviation","AP550"
"Guinee Airlines","AP794"
"Van Air Europe","AP389"
"Air Executive Charter","AP841"
"Krimaviamontag","AP170"
"Cimber Air","AP538"
"International Air Service","AP248"
"Paragon Air Express","AP532"
"Four Island Air","AP278"
"Garuda Indonesia","AP358"
"Knighthawk Air Express","AP917"
"Aero California","AP513"
"Relief Transport Services","AP966"
"Lebanese Air Transport","AP744"
"Jim Hankins Air Service","AP3"
"Hello","AP673"
"Fairoaks Flight Centre","AP365"
"Trinity Air Bahamas","AP539"
"Solinair","AP454"
"Swiss Jet","AP821"
"Eram Air","AP983"
"Inter-Air","AP973"
"C and M Aviation","AP359"
"IndiGo Airlines","AP782"
"Grand China Air","AP62"
"Vacationair","AP544"
"Logan Air","AP682"
"Interjet (ABC Aerolineas)","AP396"
"Transbrasil","AP223"
"Dasnair","AP584"
"Vueling Airlines","AP708"
"Big Sky Airlines","AP463"
"Lucky Air","AP598"
"Sham Wing Airlines","AP742"
"Ghadames Air Transport","AP833"
"Tennessee Air National Guard 164th Airlift Group","AP143"
"Advance Air Charters","AP76"
"Massachusetts Institute of Technology","AP27"
"Rosneft-Baltika","AP537"
"Aviastar-Tu","AP590"
"Enimex","AP466"
"Halcyon Air/Bissau Airways","AP306"
"Swedish Armed Forces","AP946"
"Virgin Atlantic Airways","AP185"
"Transportes Aereos Amparo","AP672"
"Panavia","AP854"
"Nelson Aviation College","AP514"
"Voyageur Airways","AP733"
"Comlux Aviation","AP435"
"Hop-A-Jet","AP709"
"J-Air","AP13"
"Air VIP","AP853"
"Aerotrans","AP993"
"Hawkair","AP760"
"Hawaiian Airlines","AP567"
"Aeroel Airways","AP779"
"Holding International Group","AP174"
"Yellowtail","AP984"
"Afrika Aviation Handlers","AP924"
"British Midland Regional","AP768"
"Gulisano airways","AP583"
"Aviacon Zitotrans Air Company","AP532"
"Flycolumbia","AP21"
"NZ Warbirds Association","AP704"
"Chartright Air","AP340"
"Chartright Air","AP108"
"Global Airways","AP40"
"City Connexion Airlines","AP537"
"Sun Pacific International","AP95"
"Aeroservicios Ecuatorianos","AP387"
"African Safari Airways","AP388"
"Worldwide Jet Charter","AP920"
"Alberni Airways","AP964"
"USAF Air Mobility Operations Control Center","AP18"
"Guyana Airways 2000","AP580"
"Wisconsin Air National Guard","AP187"
"Rangemile Limited","AP428"
"Thai Lion Air","AP262"
"Bahamasair","AP891"
"Heavylift Cargo Airlines","AP799"
"EgyptAir Express","AP282"
"Fotografia F3","AP763"
"Aerogem Cargo","AP246"
"FlyEgypt","AP779"
"Go2Sky","AP319"
"Palair Macedonia (3D)","AP819"
"Sheltam Aviation","AP642"
"Airservices Australia","AP889"
"Air Sofia","AP329"
"Aeroingenieria","AP222"
"Croatia Airlines","AP2"
"Aero Servicios Vanguardia","AP181"
"Air Class Lineas Aereas","AP142"
"Canadian Western Airlines","AP918"
"Scat Air","AP777"
"Air Cargo Transportation System","AP363"
"Khoezestan Photros Air Lines","AP219"
"Great Lakes Airways (Uganda)","AP212"
"40-Mile Air","AP863"
"Transcontinental Sur","AP331"
"Zimex Aviation","AP927"
"Ei Air Exports","AP575"
"GP Express Airlines","AP338"
"Aero Biniza","AP315"
"Jayrow","AP449"
"Civil Air Patrol South Carolina Wing","AP490"
"Pal Aerolineas","AP116"
"Air Exchange","AP673"
"Jett Paqueteria","AP717"
"Max Avia","AP787"
"Continental Airways","AP299"
"Atlantic S.L.","AP498"
"Gemini Air Cargo","AP422"
"Futura International Airways","AP249"
"Publiservicios Aereos","AP859"
"Aviair Aviation Ltd.","AP437"
"Taxis Aereos del Pacifico","AP837"
"Transportes Aereos Don Carlos","AP690"
"Crossair Europe","AP387"
"Air Togo","AP255"
"US Africa Airways","AP642"
"ATS Private Company","AP273"
"Air Park Aviation Ltd.","AP44"
"Centre Airlines","AP935"
"Jet Aviation Business Jets","AP830"
"Vietnam Airlines","AP629"
"Comfort Air","AP923"
"Aeroservicios Ejecutivos Corporativos","AP227"
"Pocono Air Lines","AP525"
"McNeely Charter Services","AP377"
"Guinea Cargo","AP544"
"Fun Flying Thai Air Service","AP416"
"Alajnihah for Air Transport","AP111"
"Aeroatlantico Colombia","AP495"
"Societe De Transport Aerien De Mauritanie","AP794"
"ACM Aviation","AP314"
"Enkor JSC","AP128"
"European Executive Express","AP403"
"J P Hunt Air Carriers","AP397"
"Telesis Transair","AP252"
"O Air","AP791"
"Africaone","AP884"
"Nordic Solutions","AP106"
"Aguilas Mayas Internacional","AP321"
"Formula One Management","AP115"
"Tradewind Aviation","AP252"
"Aerlineas Del Oeste","AP130"
"Royal Air Force","AP864"
"Aeronavigaciya","AP682"
"Altagna","AP122"
"Provincial Express","AP842"
"U.S. Air","AP634"
"International Security Assistance Force","AP836"
"Virgin Atlantic Airways","AP921"
"New Zealand Air Defence Force","AP319"
"Southeast Airlines (Sun Jet International)","AP384"
"Freeway Air","AP971"
"Hapagfly","AP637"
"Northern Aviation Service","AP968"
"SunExpress","AP272"
"Luxor Air","AP396"
"Aerolineas Argentinas","AP240"
"JALways","AP946"
"Kish Air","AP169"
"Servicios Aereos Integrales / Flyant","AP239"
"Donair Flying Club","AP814"
"Uni Air","AP123"
"Zagros Airlines","AP493"
"EVA Air","AP861"
"Grand Aire Express","AP670"
"African Express Airways","AP462"
"Jet Line International","AP960"
"Sierra National Airlines","AP502"
"Gestar","AP280"
"LANSA","AP963"
"African Airlines","AP503"
"Patriot Aviation Limited","AP710"
"Aviaxess","AP518"
"Swedish Civil Aviation Administration","AP272"
"Star Aviation","AP178"
"Privilege Style L","AP724"
"Sonnig SA","AP940"
"Primera Air","AP807"
"Worldwide Aviation Services","AP872"
"Wilderness Air","AP477"
"Ministic Air","AP133"
"A J Services","AP724"
"Servicios Aereos Poblanos","AP443"
"Aviones de Renta de Quintana Roo","AP383"
"Colvin Aviation","AP176"
"Sunworld Airlines","AP951"
"DAP Helicopteros","AP649"
"Flamingo Air-Line","AP813"
"Tramm Airlines","AP66"
"HT Helikoptertransport","AP948"
"Kosmos","AP976"
"Sentel Corporation","AP943"
"Servicios Aeronauticos De Oriente","AP315"
"Aerovuelox","AP499"
"Plymouth School of Flying","AP603"
"Aeroferinco","AP283"
"TNT International Aviation","AP439"
"Nimbus Aviation","AP948"
"Triangle Airline (Uganda)","AP273"
"Flint Aviation Services","AP613"
"Jetflite","AP720"
"Mesaba Airlines","AP19"
"Servicios Aereos Universitarios","AP570"
"Cebu Pacific","AP182"
"Tom\\'s & co airliners","AP426"
"Thai Airways International","AP994"
"Twin Cities Air Service","AP137"
"SilkAir","AP2"
"Aero Link Air Services S.L.","AP517"
"Mak Air","AP237"
"Aerogaucho","AP912"
"Chevron U.S.A","AP176"
"Executive Jet Charter","AP120"
"Cameroon Airlines","AP343"
"Fairways Corporation","AP772"
"Aerodiplomatic","AP916"
"Royal Jordanian","AP663"
"ValueJet","AP624"
"Air Ada","AP657"
"Sunworld Airlines","AP160"
"Happy Air","AP37"
"Ciel Canadien","AP430"
"JDAviation","AP372"
"Empire Aviation Services","AP380"
"Vision Airlines","AP36"
"Falcon Air","AP610"
"Siren-Travel","AP165"
"Aguilar Connect","AP369"
"Casement Aviation","AP570"
"East-West Airlines","AP253"
"Pacific Aviation (Australia)","AP188"
"Pacific Blue","AP924"
"Airbus Transport International","AP915"
"Organizacion De Transportes Aereos","AP789"
"Air LA","AP926"
"Aero Business Charter","AP748"
"Aerotaxi Villa Rica","AP371"
"Yeti Airlines ","AP577"
"Kelix Air","AP869"
"Aero VIP","AP223"
"TLC Air","AP801"
"Royal Airlines","AP710"
"Sky King","AP952"
"Texas Airways","AP389"
"Altair Aviation (1986)","AP703"
"Air Ivoire","AP559"
"Turan Air","AP599"
"Afrinat International Airlines","AP908"
"Alada","AP618"
"Alaniya Airlines","AP272"
"Comfort Express Virtual Charters","AP20"
"TAG Aviation","AP806"
"Geographic Air Surveys","AP984"
"Heritiage Flight (Valley Air Services)","AP280"
"British Gulf International-Fez","AP50"
"Seba Airlines","AP530"
"Boutique Air (Priv)","AP593"
"Sabah Air","AP241"
"Aerovias del Golfo","AP896"
"Neosiam Airways","AP326"
"Armenian Airlines","AP141"
"Alok Air","AP292"
"Maryland State Police","AP548"
"Aero Siete","AP805"
"Servicios Aeronauticos Aero Personal","AP430"
"Avient Aviation","AP450"
"Island Spirit","AP604"
"Air-Angol","AP150"
"American Aviation","AP801"
"Black Stallion Airways","AP461"
"Empresa Ecuatoriana De Aviacion","AP1000"
"Hong Kong Airlines","AP344"
"FlyNordic","AP735"
"Servicios Aereos Especiales De Jalisco","AP908"
"Transportes Aereos Sierra Madre","AP67"
"Air Newark","AP885"
"Grupo TACA","AP627"
"Wermlandsflyg AB","AP796"
"Avalair","AP354"
"Long Island Airlines","AP537"
"Massey University School of Aviation","AP816"
"Aeronaves Del Noroeste","AP768"
"Dasnair","AP918"
"Air Hamburg (AHO)","AP22"
"Nortavia","AP8"
"Bundepolizei-Fliegertruppe","AP682"
"Grossmann Air Service","AP500"
"Arkhangelsk 2 Aviation Division","AP113"
"Euroair","AP164"
"Atlantic Airfreight Aviation","AP381"
"Elysian Airlines","AP748"
"Aviation Ministry of the Interior of the Russian Federation","AP786"
"TUIfly Nordic","AP254"
"Petty Transport","AP352"
"Line Blue","AP858"
"Libyan Arab Airlines","AP183"
"Avia Trans Air Transport","AP9"
"Apatas Air","AP268"
"LCM AIRLINES","AP551"
"Travelair","AP863"
"Israeli Air Force","AP519"
"Peninsula Airways","AP994"
"SAAB-Aircraft","AP943"
"Orion-x","AP233"
"Malaya Aviatsia Dona","AP37"
"Harbor Airlines","AP811"
"Italy First","AP738"
"Guyana Airways 2000","AP910"
"Euro Sun","AP226"
"Aeromilenio","AP385"
"Stella Aviation","AP775"
"Seco International","AP373"
"Azzurra Air","AP343"
"Guneydogu Havacilik Isletmesi","AP374"
"L R Airlines","AP998"
"International Jet Aviation Services","AP601"
"Saber Aviation","AP597"
"Dana Air","AP230"
"Surninam International Victory Airline","AP20"
"Sundt Air","AP748"
"Southern Frontier Air Transport","AP160"
"Champagne Airlines","AP139"
"Taxis Aereos De Parral","AP816"
"Aeroeste","AP696"
"Hadison Aviation","AP804"
"JDP Lux","AP322"
"Ratkhan Air","AP356"
"SADELCA - Sociedad Aerea Del Caqueta","AP37"
"Voronezh Aircraft Manufacturing Society","AP625"
"Helitaxi Ofavi","AP416"
"West Wind Aviation","AP116"
"East Horizon","AP292"
"Aero Virel","AP889"
"Eagle Atlantic Airlines","AP363"
"Pond Air Express","AP15"
"Air Greenland","AP830"
"Air Santo Domingo","AP332"
"Aliven","AP693"
"Ultrair","AP370"
"Interavia Airlines","AP274"
"Unitemp-M","AP534"
"Bali International Air Service","AP415"
"Rumugu Air & Space Nigeria","AP870"
"Aerovilla","AP876"
"Lineas Aereas Alaire S.L.","AP663"
"Royal New Zealand Air Force","AP43"
"Cardinal/Air Virginia","AP884"
"Avia Traffic Company","AP698"
"Holidays Czech Airlines","AP292"
"Aerotrans","AP425"
"Norwegian Air International (D8)","AP728"
"Ecotour","AP790"
"Austro Aereo","AP336"
"BAX Global","AP27"
"Eurojet Romania","AP779"
"Gulf & Caribbean Cargo / Contract Air Cargo","AP216"
"EasyFly","AP701"
"Africa Freight Services","AP666"
"East African","AP25"
"Delta Aerotaxi","AP105"
"Aero Taxi","AP801"
"ASA Pesada","AP815"
"Action Air","AP337"
"ADC Airlines","AP696"
"Seven Four Eight Air Services","AP932"
"Swift Copters","AP165"
"Skynet Airlines","AP28"
"Tellavia / Flight One","AP567"
"40-Mile Air","AP73"
"Direct Flight","AP198"
"Audeli Air","AP934"
"Russkie Krylya","AP209"
"Haverfordwest Air Charter Services","AP124"
"Falcon Air (IH)","AP736"
"VietJet Air","AP64"
"Challenge International Airlines","AP452"
"Polish Air Force","AP262"
"Sabre","AP243"
"Somali Airlines","AP781"
"Zimex Aviation","AP777"
"China Eastern Airlines","AP520"
"Tas Aviation","AP327"
"Clark Aviation","AP154"
"Special Scope Limited","AP509"
"Aero Roca","AP982"
"Punto Fa","AP242"
"Aeromet Servicios","AP788"
"Servicios De Aerotransportacion De Aguascalientes","AP64"
"Eximflight","AP936"
"Servicios Aereos Palenque","AP24"
"Air Namibia","AP12"
"Air D'Ayiti","AP124"
"LSM International ","AP118"
"Deccan Aviation (Lanka)","AP881"
"Star Up","AP401"
"East African","AP727"
"Blackhawk Airways","AP71"
"USA3000 Airlines","AP888"
"Compania De Actividades Y Servicios De Aviacion","AP105"
"Senator Aviation Charter","AP390"
"Hawaiian Pacific Airlines","AP199"
"Tristar Air","AP95"
"Saber Aviation","AP884"
"Lombards Air","AP927"
"Action Air","AP564"
"Grossmann Jet Service","AP603"
"Transair Gabon]","AP245"
"Air Falcon","AP413"
"Travel International Air Charters","AP233"
"Pulkovo Aircraft Services","AP247"
"Star Aviation","AP537"
"Polet","AP359"
"EgyptAir Express","AP260"
"HT Helikoptertransport","AP171"
"Air D'Ayiti","AP973"
"Air Mozambique","AP389"
"AtlasGlobal Ukraine","AP592"
"Air Malawi","AP742"
"Wuhan Airlines","AP705"
"Nile Air","AP36"
"Servico Aereo Regional","AP118"
"Mali Air Express","AP991"
"Mines Air Services Zambia","AP391"
"Lebanese Air Transport (Charter)","AP87"
"Taxis Aereos De Parral","AP379"
"Bizjet Ltd","AP766"
"VIP Servicios Aereos Ejecutivos","AP860"
"Pace Airlines","AP59"
"Koob-Corp - 96 KFT","AP941"
"Central Air Express","AP887"
"University Air Squadron","AP143"
"Aero Lider","AP446"
"IndiGo Airlines","AP415"
"Swiss International Air Lines","AP202"
"Shuangyang General Aviation","AP74"
"Walmart Aviation","AP55"
"Airspeed Aviation","AP61"
"Great Lakes Airways (Uganda)","AP364"
"Executive Flight Operations Ontario Government","AP634"
"Earth Airlines Services","AP524"
"Jet2.com","AP733"
"Western Pacific Airservice","AP32"
"Naturelink Charter","AP731"
"New Heights 291","AP927"
"Sky Wings Airlines","AP140"
"BA101","AP418"
"Farnas Aviation Services","AP943"
"Corse-Mediterranee","AP676"
"Lydd Air","AP172"
"Aviavilsa","AP18"
"United Kingdom Home Office","AP908"
"Socofer","AP247"
"Nas Air","AP236"
"Transaero Airlines","AP716"
"Air Cape","AP185"
"All America CO","AP386"
"Aero-Pyrenees","AP246"
"Natalco Air Lines","AP56"
"Linea Aerea Costa Norte","AP240"
"Link Airways of Australia","AP57"
"Aero Flight","AP759"
"Embry-Riddle Aeronautical University","AP113"
"Flugschule Eichenberger","AP387"
"B&H Airlines","AP986"
"Indian Air Force","AP221"
"Eurowings","AP609"
"Knighthawk Air Express","AP727"
"Oman Air","AP840"
"Garden State Airlines","AP495"
"Rabbit-Air","AP965"
"Atlantic Gulf Airlines","AP300"
"Anglo Cargo","AP650"
"Kan Air","AP662"
"Gandalf Airlines","AP774"
"Asia Pacific Airlines","AP577"
"Transpac Express","AP7"
"Malagasy Airlines","AP72"
"Satsair","AP765"
"Raytheon Aircraft Company","AP824"
"Air Tomisko","AP106"
"Rwanda Airways","AP998"
"Seagle Air","AP17"
"Dubai Airwing","AP826"
"Air Alize","AP758"
"Aeromas","AP854"
"Pecotox Air","AP381"
"Royal Oman Police","AP819"
"Aerotaxi Del Valle","AP594"
"Alamo Aviacion","AP907"
"Skyking","AP787"
"South Central Air","AP172"
"Chipola Aviation","AP699"
"Aviation Amos","AP960"
"Sky Limo Corporation","AP327"
"Air Korea Co. Ltd.","AP906"
"China Xinhua Airlines","AP686"
"Briansk State Air Enterprise","AP348"
"Air Napier","AP421"
"Air Sahara","AP406"
"Ozjet Airlines","AP918"
"Durango Jet","AP517"
"EPAG Groupe Air France","AP516"
"South American Airlines","AP69"
"Zenmour Airlines","AP698"
"Shuttle America","AP29"
"Nanjing Airlines","AP262"
"Fly Romania","AP613"
"Survey Udara (Penas)","AP63"
"South Airlines","AP614"
"Aeronautica","AP35"
"Siam GA","AP517"
"Aviair Aviation Ltd.","AP505"
"Swedish Airlines","AP856"
"Air Montreal (Air Holdings Inc.)","AP745"
"Akhal","AP544"
"Toumai Air Tchad","AP818"
"Abas","AP953"
"US Airports Air Charter","AP857"
"Aeromedica","AP388"
"United Kingdom Royal VIP Flights","AP647"
"Mauritania Airways","AP393"
"Air Transport Association","AP649"
"Rodze Air","AP171"
"Air Kissari","AP360"
"Aviaprom Enterprises","AP142"
"Servicios Aereos MTT","AP313"
"Alamo Aviacion","AP353"
"QatXpress","AP558"
"Action Airlines (Action Air Charter)","AP845"
"Arubaexel","AP27"
"Arrendoora y Transportadora Aerea","AP307"
"Aerobona","AP180"
"Pan Havacilik Ve Ticaret","AP763"
"Siren-Travel","AP413"
"Metro Express","AP360"
"Vinair - Helicoptereos","AP682"
"Rimrock Airlines","AP245"
"ConneX European Airline","AP216"
"Xiamen Airlines","AP774"
"Lions-Air","AP194"
"Concordavia","AP590"
"Shuangyang General Aviation","AP714"
"DHL Air","AP73"
"Trans International Express Aviation","AP99"
"Trans World Express","AP902"
"Red Baron Aviation","AP429"
"Phoenix Air Lines","AP206"
"David Crawshaw Consultants Limited","AP533"
"US Check Airlines","AP600"
"Lid Air","AP161"
"Sobel Airlines of Ghana","AP295"
"Air Greenland","AP258"
"Voyageur Airways","AP543"
"Iberia Airlines","AP264"
"REXAIR VIRTUEL","AP430"
"Aerolineas Sol","AP190"
"ITA Software","AP571"
"Chicago Air","AP480"
"Royal Australian Air Force","AP760"
"Alpine Air Chile","AP397"
"Real Aviation","AP956"
"Air Medical","AP434"
"Aigle Azur","AP452"
"One Two Go Airlines","AP618"
"Flash Airlines","AP687"
"Air Nippon Network Co. Ltd.","AP439"
"Aeromax","AP983"
"General Aviation Terminal","AP28"
"Fly 6ix","AP983"
"Trans Air-Benin","AP451"
"Red Sea Aviation","AP565"
"Challenge Aviation","AP516"
"L","AP467"
"Jets Ejecutivos","AP626"
"Aerosur","AP448"
"AASANA","AP970"
"Nizhnevartovskavia","AP290"
"Nobil Air","AP769"
"Silesia Air","AP352"
"Casper Air Service","AP699"
"CHC Airways","AP497"
"Nanjing Airlines","AP73"
"Omskavia Airline","AP647"
"South African Express","AP656"
"Infinit Air","AP724"
"XL Airways France","AP979"
"Solar Cargo","AP462"
"Pacific Rim Airways","AP895"
"Amako Airlines","AP218"
"Aero Modelo","AP642"
"Utair South Africa","AP514"
"Air-Angol","AP928"
"C and M Aviation","AP643"
"Superior Aviation","AP761"
"Aerolineas Chihuahua","AP922"
"BWA (2002) Ltd","AP201"
"Pecotox Air","AP958"
"European Air Express","AP481"
"Transportes Aereos Tauro","AP462"
"Capital Airlines Limited","AP172"
"Air Southwest","AP739"
"A-Safar Air Services","AP9"
"G5 Executive","AP315"
"Tashkent Aircraft Production Corporation","AP117"
"Air 26","AP315"
"United States Air Force","AP628"
"Jetgo Australia","AP760"
"RAF Valley SAR Training Unit","AP879"
"Nordic Global Airlines","AP327"
"Air Tahoma","AP878"
"Aklak Air","AP962"
"Caspian Airlines","AP724"
"Nacoia Lda","AP681"
"Snowbird Airlines","AP900"
"Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero","AP527"
"Cohlmia Aviation","AP231"
"European Air Transport","AP922"
"Fotografia F3","AP750"
"UTair-Express","AP226"
"T.A.T","AP365"
"New England Airlines","AP90"
"Tex Star Air Freight","AP513"
"Yemenia","AP456"
"Knights Airlines","AP288"
"Flycom","AP748"
"Patterson Aviation Company","AP590"
"SEFA","AP866"
"Alada","AP186"
"FSH Luftfahrtunternehmen","AP522"
"Aerofrisco","AP590"
"Grand Airways","AP471"
"K D Air Corporation","AP496"
"Zhejiang Airlines","AP713"
"Air Travel Corp.","AP991"
"2 Sqn No 1 Elementary Flying Training School","AP611"
"CAI","AP900"
"ICAR Airlines","AP366"
"Eastern Australia Airlines","AP798"
"KoralBlue Airlines","AP540"
"Royal Air Freight","AP441"
"Akhal","AP524"
"Delta Express International","AP47"
"Insel Air International","AP362"
"Air Explore","AP900"
"Steinman Aviation","AP391"
"IMP Aviation Services","AP117"
"Aerotaxi Mexicano","AP290"
"Turk Hava Kurumu Hava Taksi Isletmesi","AP9"
"Air Luxor STP","AP270"
"Royal Oman Police","AP397"
"Nyasa Express","AP955"
"Regionalia Chile","AP976"
"Rockwell Collins Avionics","AP163"
"Trans Sahara Air","AP390"
"SAAB Nyge Aero","AP159"
"Aermarche","AP762"
"Global Supply Systems","AP659"
"Pacific Rim Airways","AP577"
"Futura International Airways","AP343"
"Travel Service","AP779"
"Max-Aviation","AP812"
"SAAD (A320) Limited","AP146"
"Saskatchewan Government","AP463"
"Sham Wing Airlines","AP318"
"JS Aviation","AP204"
"Triple Alpha","AP753"
"AMS Group","AP171"
"LOT Polish Airlines","AP955"
"Desarrollo Milaz","AP923"
"Air Lithuania","AP505"
"Global Jet Corporation","AP800"
"Islas Airways","AP227"
